date,pair,visa_fx_per_inr,visa_inr_per_unit,visa_bill_amt,visa_benchmark,visa_markup,mc_fx_per_inr,mc_inr_per_unit,mc_bill_amt
2025-07-28,USD/INR,0.0115758042,86.387086,1157.58042,0.0115593942,0.00142,0.0115419,86.640848,1154.1900000
2025-07-28,EUR/INR,0.0098921489,101.090269,989.21489,0.0098595993,0.003301,0.0099447,100.556075,994.4700000
2025-07-29,USD/INR,0.0115744644,86.397086,1157.44644,0.0115345596,0.00346,0.0114836,87.080706,1148.3600000
2025-07-29,EUR/INR,0.0099917583,100.082484,999.17583,0.0098975113,0.009522,0.0099727,100.273747,997.2700000
2025-07-30,USD/INR,0.0115300242,86.730086,1153.00242,0.0115142318,0.001372,0.0114170,87.588684,1141.7000000
2025-07-30,EUR/INR,0.0100130375,99.869794,1001.30375,0.0099837265,0.002936,0.0099668,100.333106,996.6800000
2025-07-31,USD/INR,0.0114882992,87.045086,1148.82992,0.0114300730,0.005094,0.0114313,87.479114,1143.1300000
2025-07-31,EUR/INR,0.0100783294,99.222793,1007.83294,0.0099159131,0.016379,0.0100283,99.717799,1002.8300000
2025-08-01,USD/INR,0.0114313035,87.479087,1143.13035,0.0114123336,0.001662,0.0114755,87.142172,1147.5500000
2025-08-01,EUR/INR,0.0100256903,99.743755,1002.56903,0.0099705868,0.005527,0.0100760,99.245732,1007.6000000
2025-08-02,USD/INR,0.0114755112,87.142087,1147.55112,0.0114279988,0.004158,0.0114755,87.142172,1147.5500000
2025-08-02,EUR/INR,0.0100759503,99.246221,1007.59503,0.0100210442,0.005479,0.0100760,99.245732,1007.6000000
2025-08-03,USD/INR,0.0114755112,87.142087,1147.55112,0.0114279988,0.004158,0.0114755,87.142172,1147.5500000
2025-08-03,EUR/INR,0.0100759503,99.246221,1007.59503,0.0100210442,0.005479,0.0100760,99.245732,1007.6000000
2025-08-04,USD/INR,0.0114755112,87.142087,1147.55112,0.0114279988,0.004158,0.0114227,87.544976,1142.2700000
2025-08-04,EUR/INR,0.0100759503,99.246221,1007.59503,0.0100210442,0.005479,0.0098923,101.088726,989.2300000
2025-08-05,USD/INR,0.0114764331,87.135087,1147.64331,0.0114081944,0.005982,0.0114028,87.697758,1140.2800000
2025-08-05,EUR/INR,0.0099388773,100.614985,993.88773,0.0098644136,0.007549,0.0098940,101.071356,989.4000000
2025-08-06,USD/INR,0.011398468,87.731088,1139.8468,0.0113922614,0.000545,0.0114146,87.6071,1141.4600000
2025-08-06,EUR/INR,0.009890201,101.110179,989.0201,0.0098668469,0.002367,0.0098717,101.299675,987.1700000
2025-08-07,USD/INR,0.0114146016,87.607087,1141.46016,0.0113995491,0.00132,0.0114521,87.320229,1145.2100000
2025-08-07,EUR/INR,0.0098716511,101.300176,987.16511,0.0098238100,0.00487,0.0098649,101.369502,986.4900000
2025-08-08,USD/INR,0.0114067243,87.667587,1140.67243,0.0114291043,-0.001958,0.0114390,87.420229,1143.9000000
2025-08-08,EUR/INR,0.0098257497,101.773404,982.57497,0.0098162882,0.000964,0.0098460,101.564087,984.6000000
2025-08-09,USD/INR,0.0114269276,87.512587,1142.69276,0.0114128385,0.001234,0.0114390,87.420229,1143.9000000
2025-08-09,EUR/INR,0.0098270693,101.759738,982.70693,0.0097981099,0.002956,0.0098460,101.564087,984.6000000
2025-08-10,USD/INR,0.0114269276,87.512587,1142.69276,0.0114128385,0.001234,0.0114390,87.420229,1143.9000000
2025-08-10,EUR/INR,0.0098270693,101.759738,982.70693,0.0097981099,0.002956,0.0098460,101.564087,984.6000000
2025-08-11,USD/INR,0.0114269276,87.512587,1142.69276,0.0114128385,0.001234,0.0114240,87.535014,1142.4000000
2025-08-11,EUR/INR,0.0098270693,101.759738,982.70693,0.0097981099,0.002956,0.0098576,101.444571,985.7600000
2025-08-12,USD/INR,0.0114328718,87.467087,1143.28718,0.0113975257,0.003101,0.0114185,87.577177,1141.8500000
2025-08-12,EUR/INR,0.0098652691,101.365709,986.52691,0.0098068540,0.005957,0.0098461,101.563055,984.6100000
2025-08-13,USD/INR,0.0114209895,87.558087,1142.09895,0.0114017603,0.001687,0.0114312,87.47988,1143.1200000
2025-08-13,EUR/INR,0.0098482177,101.541215,984.82177,0.0098240223,0.002463,0.0098004,102.036652,980.0400000
2025-08-14,USD/INR,0.0114455648,87.370087,1144.55648,0.0114353509,0.000893,0.0114132,87.617846,1141.3200000
2025-08-14,EUR/INR,0.009810194,101.934783,981.0194,0.0097646237,0.004667,0.0098085,101.952388,980.8500000
2025-08-15,USD/INR,0.011444255,87.380087,1144.4255,0.0114192496,0.00219,0.0114414,87.401891,1144.1400000
2025-08-15,EUR/INR,0.0098402782,101.623143,984.02782,0.0097683914,0.007359,0.0098378,101.648743,983.7800000
2025-08-16,USD/INR,0.0114439276,87.382587,1144.39276,0.0114336023,0.000903,0.0114414,87.401891,1144.1400000
2025-08-16,EUR/INR,0.0098281657,101.748386,982.81657,0.0097823429,0.004684,0.0098378,101.648743,983.7800000
2025-08-17,USD/INR,0.0114439276,87.382587,1144.39276,0.0114336023,0.000903,0.0114414,87.401891,1144.1400000
2025-08-17,EUR/INR,0.0098281657,101.748386,982.81657,0.0097823429,0.004684,0.0098378,101.648743,983.7800000
2025-08-18,USD/INR,0.0114439276,87.382587,1144.39276,0.0114336023,0.000903,0.0114528,87.314892,1145.2800000
2025-08-18,EUR/INR,0.0098281657,101.748386,982.81657,0.0097823429,0.004684,0.0098231,101.800857,982.3100000
2025-08-19,USD/INR,0.0114578922,87.276087,1145.78922,0.0114442859,0.001189,0.0115058,86.912688,1150.5800000
2025-08-19,EUR/INR,0.0098308715,101.720381,983.08715,0.0098040657,0.002734,0.0098872,101.140869,988.7200000
2025-08-20,USD/INR,0.0115057471,86.913087,1150.57471,0.0114826836,0.002009,0.0114980,86.971647,1149.8000000
2025-08-20,EUR/INR,0.0098872008,101.140860,988.72008,0.0098293816,0.005882,0.0098941,101.070335,989.4100000
2025-08-21,USD/INR,0.0114979419,86.972086,1149.79419,0.0114866830,0.00098,0.0114668,87.208288,1146.6800000
2025-08-21,EUR/INR,0.0098940972,101.070363,989.40972,0.0098589675,0.003563,0.0098869,101.143938,988.6900000
2025-08-22,USD/INR,0.0115046882,86.921086,1150.46882,0.0114595435,0.003939,0.0114716,87.171798,1147.1600000
2025-08-22,EUR/INR,0.009919535,100.811177,991.9535,0.0098458145,0.007487,0.0099055,100.954015,990.5500000
2025-08-23,USD/INR,0.0114521186,87.320087,1145.21186,0.0114237352,0.002485,0.0114716,87.171798,1147.1600000
2025-08-23,EUR/INR,0.0098887032,101.125494,988.87032,0.0098412605,0.004821,0.0099055,100.954015,990.5500000
2025-08-24,USD/INR,0.0114521186,87.320087,1145.21186,0.0114237352,0.002485,0.0114716,87.171798,1147.1600000
2025-08-24,EUR/INR,0.0098887032,101.125494,988.87032,0.0098412605,0.004821,0.0099055,100.954015,990.5500000
2025-08-25,USD/INR,0.0114521186,87.320087,1145.21186,0.0114237352,0.002485,0.0114288,87.49825,1142.8800000
2025-08-25,EUR/INR,0.0098887032,101.125494,988.87032,0.0098412605,0.004821,0.0097984,102.057479,979.8400000
2025-08-26,USD/INR,0.0114603871,87.257087,1146.03871,0.0114207882,0.003467,0.0114256,87.522756,1142.5600000
2025-08-26,EUR/INR,0.0098787826,101.227047,987.87826,0.0097638610,0.01177,0.0098505,101.517689,985.0500000
2025-08-27,USD/INR,0.0114185117,87.577087,1141.85117,0.0114132404,0.000462,0.0114151,87.603262,1141.5100000
2025-08-27,EUR/INR,0.0098443834,101.580765,984.43834,0.0097917299,0.005377,0.0098636,101.382862,986.3600000
2025-08-28,USD/INR,0.011417208,87.587087,1141.7208,0.0113948437,0.001963,0.0114266,87.515096,1142.6600000
2025-08-28,EUR/INR,0.0098653734,101.364637,986.53734,0.0098290724,0.003693,0.0098420,101.605365,984.2000000
2025-08-29,USD/INR,0.0114269276,87.512587,1142.69276,0.0114186800,0.000722,0.0113625,88.008801,1136.2500000
2025-08-29,EUR/INR,0.0098279145,101.750986,982.79145,0.0097796163,0.004939,0.0097540,102.522042,975.4000000
2025-08-30,USD/INR,0.0114034724,87.692587,1140.34724,0.0113400808,0.00559,0.0113625,88.008801,1136.2500000
2025-08-30,EUR/INR,0.0097892188,102.153197,978.92188,0.0097272953,0.006366,0.0097540,102.522042,975.4000000
2025-08-31,USD/INR,0.0114034724,87.692587,1140.34724,0.0113400808,0.00559,0.0113625,88.008801,1136.2500000
2025-08-31,EUR/INR,0.0097892188,102.153197,978.92188,0.0097272953,0.006366,0.0097540,102.522042,975.4000000
2025-09-01,USD/INR,0.0114034724,87.692587,1140.34724,0.0113400808,0.00559,0.0113740,87.919817,1137.4000000
2025-09-01,EUR/INR,0.0097892188,102.153197,978.92188,0.0097272953,0.006366,0.0097355,102.716861,973.5500000
2025-09-02,USD/INR,0.0113478283,88.122588,1134.78283,0.0113382855,0.000842,0.0113716,87.938373,1137.1600000
2025-09-02,EUR/INR,0.0097131019,102.953722,971.31019,0.0096784340,0.003582,0.0097946,102.097074,979.4600000
2025-09-03,USD/INR,0.0113883429,87.809087,1138.83429,0.0113531456,0.0031,0.0113692,87.956936,1136.9200000
2025-09-03,EUR/INR,0.0098090711,101.946452,980.90711,0.0097485365,0.00621,0.0097960,102.082483,979.6000000
2025-09-04,USD/INR,0.0113675003,87.970087,1136.75003,0.0113596927,0.000687,0.0113431,88.159322,1134.3100000
2025-09-04,EUR/INR,0.0097944933,102.098186,979.44933,0.0097482989,0.004739,0.0097550,102.511533,975.5000000
2025-09-05,USD/INR,0.0113645936,87.992587,1136.45936,0.0113490312,0.001371,0.0113550,88.066931,1135.5000000
2025-09-05,EUR/INR,0.0097734625,102.317883,977.34625,0.0097441669,0.003006,0.0097627,102.43068,976.2700000
2025-09-06,USD/INR,0.0113565272,88.055087,1135.65272,0.0113319964,0.002165,0.0113550,88.066931,1135.5000000
2025-09-06,EUR/INR,0.0097531053,102.531447,975.31053,0.0096879511,0.006725,0.0097627,102.43068,976.2700000
2025-09-07,USD/INR,0.0113565272,88.055087,1135.65272,0.0113319964,0.002165,0.0113550,88.066931,1135.5000000
2025-09-07,EUR/INR,0.0097531053,102.531447,975.31053,0.0096879511,0.006725,0.0097627,102.43068,976.2700000
2025-09-08,USD/INR,0.0113565272,88.055087,1135.65272,0.0113319964,0.002165,0.0113748,87.913634,1137.4800000
2025-09-08,EUR/INR,0.0097531053,102.531447,975.31053,0.0096879511,0.006725,0.0097220,102.859494,972.2000000
2025-09-09,USD/INR,0.0113536261,88.077587,1135.36261,0.0113593329,-0.000502,0.0113388,88.192754,1133.8800000
2025-09-09,EUR/INR,0.0097039442,103.050881,970.39442,0.0096856522,0.001889,0.0096805,103.300449,968.0500000
2025-09-10,USD/INR,0.0113708998,87.943787,1137.08998,0.0113417643,0.002569,0.0113618,88.014223,1136.1800000
2025-09-10,EUR/INR,0.009717047,102.911923,971.7047,0.0096574969,0.006166,0.0097268,102.808735,972.6800000
2025-09-11,USD/INR,0.011362592,88.008088,1136.2592,0.0113481158,0.001276,0.0113614,88.017322,1136.1400000
2025-09-11,EUR/INR,0.0097274041,102.802349,972.74041,0.0096934448,0.003503,0.0097431,102.636738,974.3100000
2025-09-12,USD/INR,0.0113539483,88.075088,1135.39483,0.0113083199,0.004035,0.0113347,88.224655,1133.4700000
2025-09-12,EUR/INR,0.0097375103,102.695655,973.75103,0.0096776379,0.006187,0.0096877,103.223675,968.7700000
2025-09-13,USD/INR,0.0113346444,88.225088,1133.46444,0.0113284377,0.000548,0.0113347,88.224655,1133.4700000
2025-09-13,EUR/INR,0.0096877205,103.223456,968.77205,0.0096675522,0.002086,0.0096877,103.223675,968.7700000
2025-09-14,USD/INR,0.0113346444,88.225088,1133.46444,0.0113284377,0.000548,0.0113347,88.224655,1133.4700000
2025-09-14,EUR/INR,0.0096877205,103.223456,968.77205,0.0096675522,0.002086,0.0096877,103.223675,968.7700000
2025-09-15,USD/INR,0.0113346444,88.225088,1133.46444,0.0113284377,0.000548,0.0113474,88.125914,1134.7400000
